BIRD ID,RECORD MONTH,YEAR BANDED,SEASON,SEASON WB,APEX WINGBAND,APEX LEGBAND,HATCH SOURCE,HATCH DATE,DEATH DATE,AGE IN MONTHS,AGE CLASS,MARKINGS,BLOODLINE,GENDER,FULLY VACCINATED,AREA,BROODER TO RANGE,HEALTH STATUS,COUNT,UPDATE DATE,NOTES
1,Jan,2026,TAGBA-LOCAL,40355,425801,78101,TAGBA,1/15/2026,,0,Chick,GULL,GULL,M,No,Brooder,No,Healthy,1,1/20/2026,Newly hatched
1,Feb,2026,TAGBA-LOCAL,40355,425801,78101,TAGBA,1/15/2026,,1,Chick,GULL,GULL,M,Yes,Cording,Yes,Healthy,1,2/12/2026,Normal growth
1,Mar,2026,TAGBA-LOCAL,40355,425801,78101,TAGBA,1/15/2026,,2,Chick,GULL,GULL,M,Yes,Cording,Yes,Healthy,1,3/10/2026,Active
1,Apr,2026,TAGBA-LOCAL,40355,425801,78101,TAGBA,1/15/2026,,3,Chick,GULL,GULL,M,Yes,Flying Pen,Yes,Healthy,1,4/14/2026,Growing well
1,May,2026,TAGBA-LOCAL,40355,425801,78101,TAGBA,1/15/2026,,4,Pullet,GULL,GULL,M,Yes,Flying Pen,Yes,Healthy,1,5/11/2026,Good condition
1,Jun,2026,TAGBA-LOCAL,40355,425801,78101,TAGBA,1/15/2026,,5,Pullet,GULL,GULL,M,Yes,Ranging,Yes,Healthy,1,6/9/2026,Released to range
1,Jul,2026,TAGBA-LOCAL,40355,425801,78101,TAGBA,1/15/2026,,6,Pullet,GULL,GULL,M,Yes,Ranging,Yes,Healthy,1,7/11/2026,Active
1,Aug,2026,TAGBA-LOCAL,40355,425801,78101,TAGBA,1/15/2026,,7,Pullet,GULL,GULL,M,Yes,Ranging,Yes,Healthy,1,8/8/2026,Good condition
1,Sep,2026,TAGBA-LOCAL,40355,425801,78101,TAGBA,1/15/2026,,8,Pullet,GULL,GULL,M,Yes,Ranging,Yes,Healthy,1,9/6/2026,Good condition
2,Feb,2026,DIGMAAN-NATIONAL,151909,425802,78102,DIGMAAN,2/3/2026,,0,Chick,SBR × BUTCHER,SBR × BUTCHER,M,No,Brooder,No,Healthy,1,2/10/2026,Newly hatched
2,Mar,2026,DIGMAAN-NATIONAL,151909,425802,78102,DIGMAAN,2/3/2026,,1,Chick,SBR × BUTCHER,SBR × BUTCHER,M,Yes,Cording,Yes,Healthy,1,3/12/2026,Normal growth
2,Apr,2026,DIGMAAN-NATIONAL,151909,425802,78102,DIGMAAN,2/3/2026,,2,Chick,SBR × BUTCHER,SBR × BUTCHER,M,Yes,Cording,Yes,Healthy,1,4/10/2026,Good condition
2,May,2026,DIGMAAN-NATIONAL,151909,425802,78102,DIGMAAN,2/3/2026,,3,Chick,SBR × BUTCHER,SBR × BUTCHER,M,Yes,Flying Pen,Yes,Healthy,1,5/13/2026,Transferred
2,Jun,2026,DIGMAAN-NATIONAL,151909,425802,78102,DIGMAAN,2/3/2026,,4,Pullet,SBR × BUTCHER,SBR × BUTCHER,M,Yes,Flying Pen,Yes,Healthy,1,6/8/2026,Good growth
2,Jul,2026,DIGMAAN-NATIONAL,151909,425802,78102,DIGMAAN,2/3/2026,,5,Pullet,SBR × BUTCHER,SBR × BUTCHER,M,Yes,Ranging,Yes,Healthy,1,7/11/2026,Released to range
2,Aug,2026,DIGMAAN-NATIONAL,151909,425802,78102,DIGMAAN,2/3/2026,,6,Pullet,SBR × BUTCHER,SBR × BUTCHER,M,Yes,Ranging,Yes,Under Observation,1,8/3/2026,Reduced activity
2,Sep,2026,DIGMAAN-NATIONAL,151909,425802,78102,DIGMAAN,2/3/2026,,7,Pullet,SBR × BUTCHER,SBR × BUTCHER,M,Yes,Ranging,Yes,Healthy,1,9/6/2026,Recovered
3,Jan,2026,DIGMAAN-NATIONAL,151908,425803,78103,DIGMAAN,1/28/2026,,0,Chick,BUTCHER,BUTCHER,M,No,Brooder,No,Healthy,1,1/30/2026,Newly hatched
3,Feb,2026,DIGMAAN-NATIONAL,151908,425803,78103,DIGMAAN,1/28/2026,,1,Chick,BUTCHER,BUTCHER,M,Yes,Cording,Yes,Healthy,1,2/15/2026,Normal growth
3,Mar,2026,DIGMAAN-NATIONAL,151908,425803,78103,DIGMAAN,1/28/2026,,2,Chick,BUTCHER,BUTCHER,M,Yes,Cording,Yes,Minor Injury,1,3/15/2026,Minor wing injury
3,Apr,2026,DIGMAAN-NATIONAL,151908,425803,78103,DIGMAAN,1/28/2026,,3,Chick,BUTCHER,BUTCHER,M,Yes,Flying Pen,Yes,Healthy,1,4/12/2026,Recovered
3,May,2026,DIGMAAN-NATIONAL,151908,425803,78103,DIGMAAN,1/28/2026,,4,Pullet,BUTCHER,BUTCHER,M,Yes,Flying Pen,Yes,Healthy,1,5/10/2026,Good condition
3,Jun,2026,DIGMAAN-NATIONAL,151908,425803,78103,DIGMAAN,1/28/2026,,5,Pullet,BUTCHER,BUTCHER,M,Yes,Ranging,Yes,Healthy,1,6/10/2026,Normal activity
3,Jul,2026,DIGMAAN-NATIONAL,151908,425803,78103,DIGMAAN,1/28/2026,,6,Pullet,BUTCHER,BUTCHER,M,Yes,Ranging,Yes,Healthy,1,7/9/2026,Active
3,Aug,2026,DIGMAAN-NATIONAL,151908,425803,78103,DIGMAAN,1/28/2026,,7,Pullet,BUTCHER,BUTCHER,M,Yes,Ranging,Yes,Healthy,1,8/7/2026,Good condition
3,Sep,2026,DIGMAAN-NATIONAL,151908,425803,78103,DIGMAAN,1/28/2026,,8,Pullet,BUTCHER,BUTCHER,M,Yes,Ranging,Yes,Healthy,1,9/6/2026,Good condition
4,Feb,2026,TAGBA-LOCAL,40362,425804,78104,TAGBA,2/10/2026,,0,Chick,BUTCHER,BUTCHER,M,No,Brooder,No,Healthy,1,2/15/2026,Newly hatched
4,Mar,2026,TAGBA-LOCAL,40362,425804,78104,TAGBA,2/10/2026,,1,Chick,BUTCHER,BUTCHER,M,Yes,Cording,Yes,Healthy,1,3/11/2026,Normal growth
4,Apr,2026,TAGBA-LOCAL,40362,425804,78104,TAGBA,2/10/2026,,2,Chick,BUTCHER,BUTCHER,M,Yes,Cording,Yes,Under Observation,1,4/13/2026,Reduced activity
4,May,2026,TAGBA-LOCAL,40362,425804,78104,TAGBA,2/10/2026,,3,Chick,BUTCHER,BUTCHER,M,Yes,Flying Pen,Yes,Healthy,1,5/12/2026,Recovered
4,Jun,2026,TAGBA-LOCAL,40362,425804,78104,TAGBA,2/10/2026,,4,Pullet,BUTCHER,BUTCHER,M,Yes,Ranging,Yes,Healthy,1,6/8/2026,Good condition
4,Jul,2026,TAGBA-LOCAL,40362,425804,78104,TAGBA,2/10/2026,,5,Pullet,BUTCHER,BUTCHER,M,Yes,Ranging,Yes,Healthy,1,7/10/2026,Active
4,Aug,2026,TAGBA-LOCAL,40362,425804,78104,TAGBA,2/10/2026,,6,Pullet,BUTCHER,BUTCHER,M,Yes,Ranging,Yes,Healthy,1,8/6/2026,Good condition
4,Sep,2026,TAGBA-LOCAL,40362,425804,78104,TAGBA,2/10/2026,,7,Pullet,BUTCHER,BUTCHER,M,Yes,Ranging,Yes,Healthy,1,9/6/2026,Good condition
5,Feb,2026,DIGMAAN-NATIONAL,151907,425805,78105,DIGMAAN,2/14/2026,,0,Chick,Unknown,Unknown,M,No,Brooder,No,Healthy,1,2/18/2026,Newly hatched
5,Mar,2026,DIGMAAN-NATIONAL,151907,425805,78105,DIGMAAN,2/14/2026,,1,Chick,Unknown,Unknown,M,Yes,Cording,Yes,Healthy,1,3/14/2026,Normal growth
5,Apr,2026,DIGMAAN-NATIONAL,151907,425805,78105,DIGMAAN,2/14/2026,,2,Chick,Unknown,Unknown,M,Yes,Cording,Yes,Healthy,1,4/11/2026,Good condition
5,May,2026,DIGMAAN-NATIONAL,151907,425805,78105,DIGMAAN,2/14/2026,,3,Chick,Unknown,Unknown,M,Yes,Flying Pen,Yes,Healthy,1,5/9/2026,Transferred
5,Jun,2026,DIGMAAN-NATIONAL,151907,425805,78105,DIGMAAN,2/14/2026,,4,Pullet,Unknown,Unknown,M,Yes,Flying Pen,Yes,Healthy,1,6/10/2026,Active
5,Jul,2026,DIGMAAN-NATIONAL,151907,425805,78105,DIGMAAN,2/14/2026,,5,Pullet,Unknown,Unknown,M,Yes,Ranging,Yes,Healthy,1,7/11/2026,Good condition
5,Aug,2026,DIGMAAN-NATIONAL,151907,425805,78105,DIGMAAN,2/14/2026,,6,Pullet,Unknown,Unknown,M,Yes,Ranging,Yes,Sick,1,8/3/2026,Loss of appetite
5,Sep,2026,DIGMAAN-NATIONAL,151907,425805,78105,DIGMAAN,2/14/2026,9/3/2026,7,Pullet,Unknown,Unknown,M,Yes,Ranging,Yes,Deceased,1,9/6/2026,Died after prolonged illness
